player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
André Onana,GK,Cameroon,26-260,1996,0.9,60,34,56,4,0,0,60,0,0,,0,0,32,0
André Silva,FW,Portugal,27-042,1995,0.3,14,0,0,7,7,1,14,0,0,,1,1,12,4
Andrés Guardado,MF,Mexico,36-081,1986,0.5,22,0,6,16,1,0,22,0,0,,0,1,10,0
Anis Ben Slimane,MF,Tunisia,21-277,2001,1.6,72,1,11,22,40,5,72,0,1,0.0,8,11,47,8
Ansu Fati,FW,Spain,20-048,2002,0.5,33,0,2,8,23,4,33,0,2,0.0,1,0,28,5
Ante Budimir,FW,Croatia,31-149,1991,0.6,12,1,1,5,6,2,12,0,0,,1,1,4,2
Anthony Contreras,FW,Costa Rica,22-323,2000,1.4,38,0,3,25,10,2,38,0,0,,3,7,20,1
Antoine Griezmann,MF,France,31-272,1991,6.0,381,10,50,191,145,14,381,4,11,36.4,6,8,247,20
Antoine Semenyo,FW,Ghana,22-345,2000,0.2,6,0,0,2,4,2,6,0,0,,1,1,2,2
Antonee Robinson,DF,United States,25-132,1997,4.0,288,15,70,130,92,3,288,4,5,80.0,13,3,165,13
Antonio Rüdiger,DF,Germany,29-290,1993,3.0,273,22,110,150,14,4,273,0,1,0.0,1,0,215,0
Antony,FW,Brazil,22-297,2000,1.9,145,0,14,53,81,7,145,4,16,25.0,6,6,113,10
António Silva,DF,Portugal,19-049,2003,1.0,67,5,32,35,0,0,67,0,0,,0,0,49,0
Ao Tanaka,MF,Japan,24-099,1998,1.9,84,3,32,39,14,3,84,0,1,0.0,1,1,55,7
Ardon Jasari,FW,Switzerland,20-141,2002,0.0,8,0,1,5,2,0,8,0,1,0.0,0,0,5,0
Arkadiusz Milik,FW,Poland,28-293,1994,1.1,39,1,2,24,13,3,39,1,1,100.0,3,1,31,4
Artur Jędrzejczyk,DF,Poland,35-044,1987,0.2,5,0,2,3,0,0,5,0,0,,0,0,3,0
Asiri Haitham,FW,Saudi Arabia,21-268,2001,0.0,5,1,2,2,1,0,5,0,0,,0,0,1,0
Assim Madibo,MF,Qatar,26-057,1996,1.7,85,1,32,53,1,0,85,0,0,,3,2,46,1
Atiba Hutchinson,MF,Canada,39-313,1983,1.8,131,5,38,72,21,2,131,1,1,100.0,1,2,90,0
Aurélien Tchouaméni,MF,France,22-325,2000,6.9,533,15,96,373,69,3,533,3,5,60.0,11,0,397,6
Awer Mabil,MF,Australia,27-094,1995,0.3,18,0,4,13,1,1,18,0,1,0.0,1,0,13,0
Axel Disasi,DF,France,24-282,1998,1.0,90,4,18,48,25,2,90,1,2,50.0,0,1,50,0
Axel Witsel,MF,Belgium,33-340,1989,3.0,200,11,56,131,17,1,200,0,0,,2,3,140,2
Ayase Ueda,FW,Japan,24-099,1998,0.5,23,1,3,6,15,1,23,0,0,,4,2,15,5
Aymeric Laporte,DF,Spain,28-205,1994,3.3,456,29,151,297,8,2,456,0,0,,2,0,391,1
Aziz Behich,DF,Australia,32-002,1990,4.0,249,16,89,111,53,6,249,8,14,57.1,5,5,139,4
Azzedine Ounahi,MF,Morocco,22-243,2000,6.3,328,4,79,183,71,8,328,10,13,76.9,16,7,241,15
Aïssa Laïdouni,MF,Tunisia,26-005,1996,2.7,156,9,52,78,28,6,156,1,4,25.0,4,3,92,9
Baba Rahman,DF,Ghana,28-169,1994,2.0,121,4,24,60,37,2,121,1,5,20.0,6,0,68,3
Badr Banoun,DF,Morocco,29-079,1993,0.6,28,5,20,8,0,0,28,0,0,,0,1,19,0
Bailey Wright,DF,Australia,30-143,1992,0.2,5,2,3,1,1,0,5,0,0,,0,0,2,0
Bamba Dieng,FW,Senegal,22-270,2000,1.1,32,0,2,16,14,3,32,0,2,0.0,4,4,22,2
Bartosz Bereszyński,DF,Poland,30-159,1992,3.8,197,18,74,88,37,3,197,1,7,14.3,4,3,86,4
Bassam Al-Rawi,DF,Qatar,25-002,1997,1.0,68,7,34,34,0,0,68,1,1,100.0,0,1,47,0
Ben Davies,DF,Wales,29-238,1993,2.6,184,14,75,95,14,3,184,2,3,66.7,1,0,101,1
Benjamin Pavard,DF,France,26-265,1996,1.0,94,0,20,63,12,0,94,0,0,,0,0,72,0
Bernardo Silva,MF,Portugal,28-130,1994,4.0,309,7,42,168,101,8,309,1,4,25.0,4,4,237,11
Bilal El Khannous,MF,Morocco,18-222,2004,0.6,29,2,8,13,8,0,29,0,1,0.0,1,0,23,1
Borna Barišić,DF,Croatia,30-038,1992,1.3,81,5,22,41,19,2,81,0,0,,1,0,44,1
Borna Sosa,DF,Croatia,24-331,1998,4.7,333,18,106,138,90,3,333,2,4,50.0,6,3,216,8
Boualem Khoukhi,DF,Qatar,32-162,1990,3.0,232,52,151,77,5,4,232,0,3,0.0,2,1,155,0
Boulaye Dia,FW,Senegal,26-032,1996,3.5,81,3,5,27,51,11,81,1,4,25.0,9,8,56,21
Brandon Aguilera,MF,Costa Rica,19-173,2003,1.0,44,1,17,25,3,0,44,2,3,66.7,1,3,31,3
Breel Embolo,FW,Switzerland,25-307,1997,3.6,92,3,4,44,45,10,92,2,6,33.3,10,10,76,23
Brenden Aaronson,MF,United States,22-057,2000,1.2,78,1,9,39,30,7,78,2,11,18.2,8,4,53,4
Brennan Johnson,FW,Wales,21-209,2001,1.0,33,2,6,6,21,7,33,0,5,0.0,3,2,17,4
Bruno Fernandes,FW,Portugal,28-101,1994,4.0,266,6,34,121,114,8,265,3,6,50.0,7,4,192,18
Bruno Guimarães,MF,Brazil,25-032,1997,0.8,67,2,6,28,33,7,67,2,2,100.0,3,2,53,2
Bruno Petković,FW,Croatia,28-093,1994,2.6,101,3,7,55,41,13,101,2,4,50.0,7,10,90,10
Bryan Mbeumo,FW,Cameroon,23-133,1999,2.6,106,2,13,47,48,4,106,1,7,14.3,6,1,76,11
Bryan Oviedo,DF,Costa Rica,32-303,1990,2.9,112,12,49,42,24,1,112,0,2,0.0,1,0,60,4
Bryan Ruiz,MF,Costa Rica,37-122,1985,0.3,14,1,4,10,0,0,14,1,1,100.0,0,0,9,0
Bukayo Saka,FW,England,21-104,2001,3.2,147,2,17,48,83,15,147,2,11,18.2,3,3,111,23
Callum Wilson,FW,England,30-294,1992,0.5,16,0,2,8,7,2,16,0,1,0.0,4,2,13,6
Cameron Carter-Vickers,DF,United States,24-352,1997,1.0,64,9,33,30,1,0,64,0,0,,0,0,42,0
Carlos Gruezo,MF,Ecuador,27-243,1995,0.5,19,0,6,12,2,0,19,0,0,,3,0,15,0
Carlos Martínez,DF,Costa Rica,23-263,1999,0.5,20,2,9,9,2,0,20,0,0,,1,1,8,0
Carlos Soler,MF,Spain,25-350,1997,1.0,88,0,4,56,29,3,88,1,2,50.0,0,1,74,3
Casemiro,MF,Brazil,30-298,1992,4.3,302,10,58,174,71,5,302,1,3,33.3,1,4,204,7
Celso Borges,MF,Costa Rica,34-205,1988,2.8,143,15,56,83,6,0,143,2,2,100.0,2,0,83,1
Charles De Ketelaere,FW,Belgium,21-283,2001,0.2,6,0,2,2,2,1,6,0,0,,1,1,5,0
Charly Rodríguez,MF,Mexico,25-349,1997,0.4,36,0,3,25,8,0,36,2,2,100.0,1,0,26,1
Cheikhou Kouyaté,MF,Senegal,32-362,1989,0.8,34,4,10,16,8,0,34,1,1,100.0,1,0,18,2
Cho Guesung,FW,Korea Republic,24-327,1998,3.1,88,3,11,33,44,12,88,0,5,0.0,5,5,66,14
Cho Yumin,FW,Korea Republic,26-031,1996,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Chris Mepham,DF,Wales,25-043,1997,3.0,199,22,91,99,9,2,199,0,0,,0,0,130,0
Christian Bassogog,MF,Cameroon,27-061,1995,0.3,13,0,1,2,10,3,13,2,4,50.0,0,0,9,3
Christian Eriksen,MF,Denmark,30-307,1992,3.0,253,1,29,142,88,7,253,0,4,0.0,6,3,176,12
Christian Fassnacht,FW,Switzerland,29-037,1993,0.1,12,0,2,4,8,1,12,2,2,100.0,0,0,7,3
Christian Nørgaard,MF,Denmark,28-283,1994,0.1,15,1,3,10,2,0,15,0,0,,0,0,12,1
Christian Pulisic,FW,United States,24-091,1998,3.5,187,1,18,58,116,23,187,4,15,26.7,12,10,137,19
Christopher Wooh,DF,Cameroon,21-091,2001,1.0,45,8,25,18,2,1,45,0,0,,1,2,28,0
Cody Gakpo,FW,Netherlands,23-225,1999,5.0,205,5,21,70,120,6,205,5,13,38.5,16,9,130,17
Collins Fai,DF,Cameroon,30-127,1992,3.0,169,8,50,84,38,0,169,0,2,0.0,1,0,86,2
Connor Roberts,DF,Wales,27-086,1995,2.2,138,8,39,61,38,0,138,0,0,,0,0,81,7
Craig Goodwin,MF,Australia,31-002,1991,2.6,118,4,22,48,48,4,118,0,0,,2,3,74,8
Cristian Romero,DF,Argentina,24-235,1998,6.1,428,43,204,213,13,3,428,1,1,100.0,5,1,292,1
Cristiano Ronaldo,FW,Portugal,37-316,1985,3.2,116,2,5,58,53,18,115,0,5,0.0,9,5,95,27
Cyle Larin,FW,Canada,27-245,1995,1.5,44,2,4,19,22,7,44,1,4,25.0,5,2,33,7
César Azpilicueta,DF,Spain,33-112,1989,1.5,185,1,25,136,27,0,185,0,0,,1,1,149,0
César Montes,DF,Mexico,25-297,1997,3.0,222,19,99,114,10,3,222,2,2,100.0,2,0,158,1
Daichi Kamada,FW,Japan,26-135,1996,3.6,139,4,20,75,45,4,139,3,4,75.0,4,7,93,14
Daizen Maeda,FW,Japan,25-059,1997,2.0,31,0,4,18,11,7,31,0,1,0.0,2,0,13,5
Daley Blind,DF,Netherlands,32-284,1990,4.7,339,6,65,190,85,9,339,1,2,50.0,2,1,230,8
Damian Szymański,MF,Poland,27-185,1995,0.3,9,0,3,6,0,0,9,0,0,,0,0,8,0
Dani Alves,DF,Brazil,39-226,1983,1.3,113,4,22,60,33,1,113,1,2,50.0,1,2,71,4
Dani Carvajal,DF,Spain,30-341,1992,1.5,137,3,32,82,25,0,137,0,0,,1,0,91,3
Dani Olmo,FW,Spain,24-225,1998,4.1,257,2,17,90,152,18,257,4,19,21.1,11,7,200,40
Daniel Amartey,DF,Ghana,27-362,1994,2.8,172,25,102,67,5,1,172,1,1,100.0,0,1,118,1
Daniel Chacón,MF,Costa Rica,21-251,2001,0.0,2,1,2,0,0,0,2,0,0,,0,0,1,0
Daniel James,FW,Wales,25-038,1997,1.7,49,1,4,23,22,2,49,1,4,25.0,4,1,35,7
Daniel Kyereh,MF,Ghana,26-285,1996,0.4,31,3,9,10,12,0,31,2,2,100.0,1,2,18,2
Danilo,DF,Brazil,31-156,1991,3.1,289,10,69,177,43,1,289,1,1,100.0,2,1,214,8
Danilo Pereira,DF,Portugal,31-100,1991,1.0,87,8,43,44,1,0,87,1,1,100.0,1,1,65,0
Danny Ward,GK,Wales,29-179,1993,1.0,42,32,40,2,0,0,42,0,0,,0,0,20,0
Darko Lazović,DF,Serbia,32-094,1990,0.3,14,0,4,7,3,0,14,0,0,,1,0,8,0
Darwin Núñez,FW,Uruguay,23-177,1999,2.7,85,1,10,30,46,5,85,0,4,0.0,11,6,61,24
David Raum,DF,Germany,24-240,1998,2.7,229,4,49,85,99,6,229,2,4,50.0,5,3,138,13
David Wotherspoon,MF,Canada,32-336,1990,0.2,9,0,1,3,5,0,9,1,1,100.0,0,0,7,0
Davy Klaassen,MF,Netherlands,29-300,1993,2.1,96,2,17,45,34,6,96,0,1,0.0,4,3,65,9
Dayot Upamecano,DF,France,24-052,1998,5.3,393,26,158,234,5,2,393,0,0,,1,1,291,1
DeAndre Yedlin,DF,United States,29-162,1993,0.4,32,2,8,10,14,2,32,0,0,,1,0,15,1
Declan Rice,MF,England,23-338,1999,4.6,362,13,84,247,34,4,362,0,3,0.0,1,2,271,2
Dejan Lovren,DF,Croatia,33-166,1989,6.7,515,55,243,264,11,4,515,0,0,,1,0,381,1
Denis Odoi,DF,Ghana,34-205,1988,0.1,7,5,5,2,0,0,7,0,0,,0,0,1,0
Denis Zakaria,MF,Switzerland,26-028,1996,0.7,32,1,6,21,7,0,32,0,2,0.0,1,1,20,2
Denzel Dumfries,DF,Netherlands,26-244,1996,5.3,274,7,54,132,90,12,274,0,8,0.0,13,7,169,14
Devis Epassy,GK,Cameroon,29-319,1993,2.0,93,78,92,1,0,0,93,0,0,,0,0,32,0
Diego Godín,DF,Uruguay,36-305,1986,1.7,116,5,43,72,1,1,116,0,0,,0,0,78,1
Diogo Costa,GK,Portugal,23-090,1999,5.0,170,156,170,0,0,0,170,0,0,,0,1,87,0
Diogo Dalot,DF,Portugal,23-275,1999,2.9,172,7,45,80,47,5,172,1,3,33.3,2,1,104,6
Djibril Sow,MF,Switzerland,25-315,1997,2.9,115,1,11,72,33,3,115,0,2,0.0,4,2,88,11
Djorkaeff Reasco,FW,Ecuador,23-334,1999,0.3,3,0,1,2,0,0,3,0,0,,1,1,4,2
Dominik Livaković,GK,Croatia,27-343,1995,7.7,245,224,245,0,0,0,245,0,0,,0,0,112,0
Dries Mertens,MF,Belgium,35-226,1987,0.8,39,0,3,16,20,5,39,1,1,100.0,1,0,28,7
Dušan Tadić,MF,Serbia,34-028,1988,2.9,150,1,8,59,85,8,150,3,6,50.0,8,3,114,14
Dušan Vlahović,FW,Serbia,22-324,2000,0.9,19,0,3,8,8,3,19,0,1,0.0,3,1,13,3
Dylan Bronn,DF,Tunisia,27-182,1995,1.8,104,2,40,53,12,1,104,0,0,,0,2,70,1
Eden Hazard,MF,Belgium,31-345,1991,1.4,70,0,9,39,24,2,70,5,10,50.0,5,5,56,4
Ederson,GK,Brazil,29-123,1993,1.0,32,30,32,0,0,0,32,0,0,,0,0,14,0
Edimilson Fernandes,FW,Switzerland,26-247,1996,1.6,95,5,27,37,32,1,95,0,1,0.0,2,3,57,5
Edinson Cavani,FW,Uruguay,35-307,1987,1.4,44,0,3,23,18,5,44,1,1,100.0,3,0,34,5
Edouard Mendy,GK,Senegal,30-292,1992,4.0,128,110,128,0,0,0,128,0,0,,0,0,55,0
Edson Álvarez,MF,Mexico,25-055,1997,1.9,131,1,33,87,12,0,131,1,1,100.0,1,2,72,0
Eduardo Camavinga,DF,France,20-038,2002,1.6,138,10,41,62,36,1,138,1,4,25.0,3,3,75,3
Ehsan Hajsafi,MF,IR Iran,32-296,1990,2.6,118,3,34,57,27,2,118,0,2,0.0,2,1,68,2
Ellyes Skhiri,MF,Tunisia,27-222,1995,3.0,161,8,44,108,10,1,161,1,3,33.3,4,1,94,4
Emiliano Martínez,GK,Argentina,30-107,1992,7.7,196,172,196,0,0,0,196,0,0,,0,0,83,0
Enner Valencia,FW,Ecuador,33-044,1989,2.8,98,2,3,41,55,13,97,2,7,28.6,15,6,71,13
Enzo Ebosse,DF,Cameroon,23-282,1999,1.0,49,9,28,21,1,0,49,0,0,,0,0,29,0
Enzo Fernández,MF,Argentina,21-335,2001,6.3,533,16,104,352,80,5,533,3,6,50.0,9,7,417,4
Eray Cömert,DF,Switzerland,24-317,1998,0.5,50,5,32,19,1,0,50,0,1,0.0,1,0,37,1
Eric Dier,DF,England,28-337,1994,0.4,44,2,22,23,0,0,44,0,0,,0,0,35,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-270,1989,2.8,87,2,9,48,32,9,87,3,8,37.5,7,2,62,7
Erick Gutiérrez,MF,Mexico,27-186,1995,0.5,34,1,5,27,3,0,34,0,1,0.0,0,0,26,1
Ethan Ampadu,MF,Wales,22-095,2000,2.8,178,12,48,108,23,0,178,2,3,66.7,0,3,104,4
Everton Ribeiro,MF,Brazil,33-252,1989,0.4,21,0,2,7,12,3,21,0,1,0.0,0,1,17,5
Exequiel Palacios,MF,Argentina,24-074,1998,0.6,34,1,5,19,10,1,34,0,1,0.0,0,2,22,1
Fabian Frei,MF,Switzerland,33-344,1989,0.3,16,1,7,9,0,0,16,0,0,,0,2,13,1
Fabian Rieder,FW,Switzerland,20-305,2002,0.8,32,1,8,16,10,1,32,1,1,100.0,2,2,19,2
Fabian Schär,DF,Switzerland,30-363,1991,1.5,100,14,50,48,2,1,100,0,0,,1,1,56,0
Fabinho,MF,Brazil,29-056,1993,1.0,63,4,12,45,7,0,63,0,0,,1,0,40,0
Facundo Pellistri,MF,Uruguay,20-363,2001,2.0,66,1,8,16,43,7,66,0,6,0.0,2,3,48,9
Famara Diedhiou,FW,Senegal,30-003,1992,1.0,24,3,4,9,11,5,24,0,1,0.0,2,2,20,0
Federico Valverde,MF,Uruguay,24-149,1998,3.0,225,2,40,144,47,4,225,1,4,25.0,6,2,152,4
Ferjani Sassi,MF,Tunisia,30-275,1992,0.5,39,1,9,26,4,0,39,2,3,66.7,0,0,27,2
Ferrán Torres,FW,Spain,22-292,2000,2.4,115,0,5,38,72,12,114,1,11,9.1,9,7,98,14
Filip Kostić,DF,Serbia,30-047,1992,2.0,130,2,18,57,56,10,130,0,1,0.0,3,1,72,12
Filip Mladenović,DF,Serbia,31-125,1991,0.7,29,1,8,14,7,1,29,0,2,0.0,1,0,14,2
Filip Đuričić,MF,Serbia,30-322,1992,0.2,9,0,0,4,5,1,9,0,0,,1,0,6,2
Firas Al-Buraikan,MF,Saudi Arabia,22-218,2000,3.0,94,7,17,29,49,9,94,1,7,14.3,4,3,63,9
Fodé Ballo-Touré,DF,Senegal,25-349,1997,0.1,10,0,1,7,2,1,10,0,1,0.0,0,0,6,0
Fran Karačić,DF,Australia,26-220,1996,1.0,69,6,24,31,14,1,69,0,0,,1,0,22,0
Francisco Calvo,DF,Costa Rica,30-163,1992,2.0,121,8,76,43,3,0,121,2,2,100.0,4,1,76,0
Fred,MF,Brazil,29-288,1993,1.6,98,4,22,43,33,2,98,0,0,,3,1,67,6
Frenkie de Jong,MF,Netherlands,25-220,1997,5.3,408,13,82,255,75,3,408,3,6,50.0,5,4,303,7
Félix Torres Caicedo,DF,Ecuador,25-341,1997,3.0,233,21,139,90,5,3,233,0,1,0.0,2,0,155,0
Gabriel Jesus,FW,Brazil,25-259,1997,1.0,39,0,0,12,27,6,39,1,2,50.0,2,0,25,4
Garang Kuol,FW,Australia,18-094,2004,0.4,10,0,1,4,5,2,10,0,2,0.0,1,0,7,3
Gareth Bale,FW,Wales,33-155,1989,2.5,68,2,13,30,26,2,67,1,3,33.3,4,4,51,10
Gavi,MF,Spain,18-135,2004,3.2,183,3,13,116,55,6,183,3,7,42.9,8,5,153,18
Gaël Ondoua,MF,Cameroon,27-044,1995,0.5,25,2,3,15,7,1,25,0,0,,0,1,9,0
Georges-Kévin N'Koudou,FW,Cameroon,27-308,1995,0.3,20,0,1,7,12,1,20,0,2,0.0,1,2,12,4
Germán Pezzella,DF,Argentina,31-174,1991,0.7,47,0,10,36,1,1,47,0,0,,0,0,40,0
Gerson Torres,MF,Costa Rica,25-112,1997,0.7,25,0,7,12,6,0,25,0,2,0.0,3,4,22,1
Ghaylène Chaalali,MF,Tunisia,28-293,1994,0.2,11,2,7,4,0,0,11,0,0,,1,1,1,0
Gideon Mensah,DF,Ghana,24-153,1998,1.0,59,6,23,25,11,0,59,0,0,,2,1,29,2
Gio Reyna,FW,United States,20-035,2002,0.6,42,0,0,16,26,5,42,0,0,,1,1,32,4
Giorgian De Arrascaeta,MF,Uruguay,28-200,1994,1.2,69,0,8,24,37,5,69,0,1,0.0,4,4,44,10
Gleison Bremer,DF,Brazil,25-275,1997,1.2,95,12,56,36,4,1,95,0,0,,1,0,68,0
Gonzalo Montiel,DF,Argentina,25-351,1997,1.3,95,2,23,49,25,1,95,0,1,0.0,3,2,68,9
Gonzalo Plata,MF,Ecuador,22-047,2000,3.0,133,0,9,73,52,6,133,4,12,33.3,9,3,85,6
Gonçalo Ramos,FW,Portugal,21-181,2001,1.7,55,2,5,20,30,10,55,0,2,0.0,7,0,39,13
Granit Xhaka,MF,Switzerland,30-082,1992,4.0,273,11,66,171,40,3,273,1,2,50.0,2,3,202,5
Gregor Kobel,GK,Switzerland,25-012,1997,1.0,29,28,29,0,0,0,29,0,0,,0,0,10,0
Grzegorz Krychowiak,MF,Poland,32-323,1990,3.7,165,9,36,107,23,4,165,1,3,33.3,7,0,91,1
Guido Rodríguez,MF,Argentina,28-250,1994,0.6,69,1,23,45,1,0,69,0,0,,0,0,54,0
Guillermo Ochoa,GK,Mexico,37-158,1985,3.0,112,77,112,0,0,0,112,0,0,,0,0,51,0
Guillermo Varela,DF,Uruguay,29-269,1993,2.0,109,2,29,57,23,0,109,0,3,0.0,2,1,66,5
Haji Wright,FW,United States,24-266,1998,1.5,44,2,5,18,21,8,44,0,1,0.0,2,0,31,6
Hakim Ziyech,FW,Morocco,29-274,1993,7.1,386,3,70,185,134,8,386,12,29,41.4,15,11,263,17
Hannibal Mejbri,MF,Tunisia,19-331,2003,0.1,4,1,3,0,1,0,4,0,0,,0,0,1,0
